"participant","phoneme","feature","muscle","repetition","value"
"volunteer 1","A","MAV","OOI","2",7.7618549164979
"volunteer 2","A","MAV","OOI","2",10.4951393481501
"volunteer 3","A","MAV","OOI","2",6.90769751982194
"volunteer 4","A","MAV","OOI","2",20.5290376684127
"volunteer 5","A","MAV","OOI","2",17.4025407878105
"volunteer 1","E","MAV","OOI","2",9.22605410501926
"volunteer 2","E","MAV","OOI","2",16.722881889597
"volunteer 3","E","MAV","OOI","2",8.15858468465474
"volunteer 4","E","MAV","OOI","2",17.0144212952739
"volunteer 5","E","MAV","OOI","2",10.70435972786
"volunteer 1","I","MAV","OOI","2",9.04386279203417
"volunteer 2","I","MAV","OOI","2",25.0293554444188
"volunteer 3","I","MAV","OOI","2",8.88373405842099
"volunteer 4","I","MAV","OOI","2",19.8241940235871
"volunteer 5","I","MAV","OOI","2",20.9586932022053
"volunteer 1","O","MAV","OOI","2",7.47468365060424
"volunteer 2","O","MAV","OOI","2",9.78438029267666
"volunteer 3","O","MAV","OOI","2",4.5814337781314
"volunteer 4","O","MAV","OOI","2",56.3856003304237
"volunteer 5","O","MAV","OOI","2",24.4076949162119
"volunteer 1","U","MAV","OOI","2",9.89034581725818
